storeId	comment
24436	make your own sandwich: tuna salad on country white bread, cheddar, lettuce, tomato, cucumber, mayo. yuuuum.
8550	the calamari as an appetizer and the quail. pretty good, if bit rich. the berry and creme desert thing was really, really good!
1537	be careful with the napkins on your pants. they leave remnants behind. as in lint.
59283	try the steak frites, it's the best believe me
713	go visit google across the street. see the big coffee robot
40518	great drinks good appetizers. love the dessert menu.
33560	try the english breakfast
17435	total madhouse and that's because the french onion soup keeps everyone coming back.. oh, and celebrity sightings too. leave room for dessert, my faves? tarte aux pommes crêpes suzette.
59010	and by the way if u are looking for job on advertising sales and travelling around the world check that after the grattin dauphinois:
59010	go for the grattin dauphinois!
37602	when here you have to order the mac cheese. amazing
68863	people watching + cheesecake + sex the city
118428	para brunchear
105277	love eating outside here
211609	if you want an authentic experience, think again if you are pondering full, sit-down meal here-stick to pre-dinner cocktail or night cap\u2013 always reliable and fun. check out the rest of the revie
12533	if you're fan of our great city and its iconic everything, then you may want to ensure you take piece with you. new york's photographer yale gurney can help. www.yalegurney.com\/shop
63386	an oldie but still goodie. best croque monsieur in the city!
72	obtener el pollo mirador. just right for those mornings, err, afternoons where you wake up after long night out.
19335	three words: get the corn.
187984	the corn on the cob is awesome, but the tables were apparently made for midgets.
2358	seriously one of the best cuban sandwiches i've ever had!
68605	drop your change on the sidewalk
68605	skip the line and order at the take out spot. then sit on the bench outside. also, chorizo.
82113	huevos con chorizo is finger lickin good!!
52206	cuban sandwich like mother fucker
13722	your mouth will cry areeba areeba after eating their succulently divine mexican grilled corn, yum... wash down with mandarin jaritos... oh yeah
82113	the mexican corn is the best!!
25807	try the grilled corn mexican style (via @foodspotting)
237785	grilled corn+mojito+beer+garlic shrimp+cuban sandwich= perfect date
62764	do believe the hype! corn on cob amazing. hit the cafe round the corner of elizabeth for faster service!
69093	ask mike, the bartender, to put some val doonigan on the jukebox. he's huge fan!!!
20537	best foie gras in nyc! thanks for telling us about this place, naveen!
24074	tired of waiting for table? be nice to the mayor and he might help you out. definitely has some sway here.
3744	try the creme brulee (via @foodspotting)
20964	wonderful good been serving for years. score major points with anyone you take there.
7067	sit at the bar and have the bar steak with mashed potatoes.
264057	best steak in the city.
29831	byo with corking fee i'll take it!!
23524	tartine is cute little french bistro in the west village where it's byob and cash only, but food is pretty awesome.
23420	go to tartine with an appetite. portions are large. the spicy chicken with french fries always hits the spot.
47683	great spot for jazz and totally acceptable french fare. escargots are favorite, along with hanger steak.
43905	happy hour 5 to 730 cocktails $5 and imported beer $3.50 in cosy little club atmosphere with jazz playing, you can't go wrong!
90814	fantastic brunch food and the ease to get lost inside and drink alllllllllll day!
11251	take quick peak in to see the amazing mary alice kellog's 1st art collection displayed in the back room. woot woot for ma!
50730	could be called
24873	try the tavern tostada delicious...too bad the lighting in here isnt great (via @foodspotting)
21214	always have great dinner here but had an extra great night thanks to waitress with short brown hair. she's so helpful!
5183	great prefix brunch
8051	bring date here for frozen hot chocolate. ask for an extra straw so you can split it!
105313	go for the peanut butter pie sundae...actually called the
20037	insane frozen hot chocolate... must get through crummy food to enjoy!
60700	went to serendipity for my birthday yesterday and had frozen hot chocolate it was amazing!!!
180792	get head start to put your name on the waiting list. expect half hour wait but drop by dylan's on the corner to kill some time. the frozen hot chocolate is the draw. yum.
36206	most of the desserts are huge! sharing with friend or date will still leave you satisfied.
645	try the frozen peanut butter hot chocolate first time with the peanut butter. i approve! (via @foodspotting)
53381	they hype should be about the chicken wings...delicious and the blu cheese...yum!
33560	andy warhol used to be regular here.
33560	the $1,000 golden opulence sundae includes: tahitian ice cream, gold leaf, expensive chocolate, candied french fruit, grand passion caviar and souvenir crystal goblet.
16499	dylan's takes reservations, but they recommend doing so two weeks in advance.
23200	nice atmosphere...frozen chocolate ok but not big deal at all service even worst...no tks!
118710	great for twists and iced lattes in the summer.
21881	fantastic vibe and snacks at 71 irving. stepping down into cozy nook for any occasion here is totally worth it!
33575	no wifi...but good coffee.
34450	sit by the window and alternate people-watching the crowds on the street and in the cafe. mochaccinno (hot or cold) ftw!
47683	the people here are mean. especially the curly haired register girl.
73726	great place! ull love the vibe, its like ur in some1's home.
54949	great coffee and great location. warning: if you want to sit down for while, you may have to wait. people come in and plant themselves for long periods of time.
43127	some of the staff really have attitude problems.
15414	free hot water refills with tea!
43127	they raised their prices! $4.15 for freaking cupcake? c'mon people!
69549	try the pollo alla grilga. it was damn good.
17874	great place for sunday brunch, especially with the live jazz.
43293	bad service, rude manager, can't take more than 6 cards and didn't tell us, took 45 minutes to pay, slow, unapologetic, and average food.
20186	@kvedd loves the salmon here.
264033	the waitress is
21452	order bottomless mimosas at time. they take that long to be delivered.
117498	miso soup w mushrooms, cold buckwheat noodles, grilled salmon neck, sushi, green tea, salmon skin hand rolled, extra fatty toro, miso ramen
198227	baruch district 10% discount.
78275	5stars across the board (1) informed and friendly staff, (2) inventive cocktails and wine list, (3) menu cover, (4) dishes are unlike anything you've had, (5) desserts will seduce you.
28031	skip the cocktails, order the wine. the duck rye is must
196154	don't be afraid! the food here is incredible, and the experience will change the way you look at dining! open your mind
43293	did you know: $8.50 chicken pot pie!!! you're welcome.
29831	good food, good prices, good location, great staff! why wouldn't you go?
215619	momos? did someone say momo? the barley ice cream is oh so tasty as well. did i mention the tibetan dumplings? why yes, i will have the momos. extra hot sawce please.
141794	try the creme brulee #sweet #nom (via @foodspotting)
201903	it's just so incredibly cute.
25121	late at night, the french fries are awful.
258663	everything i've tried here is great! it reminds me of
25807	try the baked eggs w\/ tomato and basil get the merguez sausage! (via @foodspotting)
116117	try the orange waffle with fruits and maple syrup for bf. the focaccia with mozzarella, tomatoes and olives tapenade is also great.
11282	there's crocodile on the wall.
5291	the baked eggs are excellent and the coffee really is among the best in ny. it's got great vibe, if bit precious
17730	mozz sandwich, avocado toast and hot chocolate. visit erica nick
54073	get the avocado toast and the hearts of palm salad.
27775	extremely considered daily menu with unusual ingredients\/combos. come with friends and share lot of dishes!
176753	bottle of wine, i got the duck breast and my date got the mackerel and the wine was the best part of the meal. not impressed and way over priced!
58	did you have the deep fried sardine skeletons from isa? did you eat it?
47769	good food, not worth the $50 prefixe price
124076	i like to end most nights on the town here with skinny margarita and late night fatty fajita.
8388	great seafood
29366	pear dessert was quite possibly best pear flavor i have ever had.
49805	spend warm sunday afternoon outdoors on the patio with their scrumptious crab cake benedict and complimentary bellini!
91774	having leisurely prix-fixe lunch with kate from the set of georgetown. loving the artichoke tomato bisque.
26044	absolutely wonderful atmosphere, next i'm in nyc i will return.
91045	far none one of the best chicken joints in the city. great that they added salad to my meal which was surprise! got crowded at times though, so off-peak hours is the best times.
27682	awesome fast cheap
82113	finger lickin good!!!
16049	seriously good chicken.
27297	give the aroz con pollo try.
72	check out 'inoteca. lot of ppl have been talking about it (most recently nate who suggested it as date spot). why have i not been? or have i?
1042	have wine outside on sunny day
30502	the speck panini is little spicy, but so good. also try the bruschetta with the cheese spread and apricot. delicious!
58953	always good i love this place.
181940	pre 6 o'clock happy hour gets you featured glass of white or red (the white today was falanghina)) and bruschetta for $6. nice afternoon treat.
238035	amazing! try the romaine radicchio insalata, speck and fontina panini, and the gamberoni. perfect for two and so damn delicious!!!!!
213188	it is hard to mess up an omelette but wouldn't try anything else.
953	great burger and fries
41955	get the don pedro for breakfast.
16255	great or breakfast meetings
22719	try the corn ice cream w\/ cinnamon on top it's delicious!
17239	umit benan, famed turkish designer, recommends their ice cream.
15495	corn with cinnamon!
242708	always good always plenty. this place may be touristy but the locals love it too because it's awesome. don't forget cash only.
256434	had much better pastrami. was dry. harold's in nj much better.
27297	rude waiters add to the authentic nyc vibe. don't be afraid of the sandwich sizes... just dig in.
138131	the pastrami, corned beef, and beef tongue are all delicious (get them hot!)!
207922	overpriced, overrated. but because it's so famous it may be with going to once in your life just to see what it's like and be stunned by the mountain of food they pile on your plate.
44647	ocean and land app with bone marrow is amazing!
7599	excellent wine list. and the
