ID;Comment
5009a1f1e4b0e95403cfc27b;god make sandwich tuna salad country white bread cedar lettuce tomato cucumber mayo yuuuum
5cae4c8cb3c961002c6533a9;calamari appetite quail pretty good bit rich berry crime desert thing really really good
5051ad96e4b09819b92cc135;careful hopkins pants leave remnants behind lint
5f4fe6286a74f475f7e99a29;try steak writes best believe
5a801d1f82a75057c022c6ef;go visit google across street see big coffee robot
4d7e4efbb25d6dcb1117b742;great drinks good appetizers love dessert menu
4b487745f964a520c04d26e3;try english breakfast
4d7e4efbb25d6dcb1117b742;total madhouse thats french onion soup keeps everyone coming back oh celebrity sightings leave room dessert faces taste aux hommes cries gazette
573f8800498ebf9f9cb36422;way u looking job advertising sales travelling around world check grain dauphinois
573f8800498ebf9f9cb36422;go grain dauphinois
4f2d37f9e4b04796490faf48;order mac cheese amazing
50688d57e4b08aab60b1cd17;people watching cheesecake sex city
60cb175230cc47201eac2b5d;para brunchear
5bc784a7666116002c1e090d;love eating outside
59ab24a79be5225c7ba8c807;want authentic experience think wondering full shutdown meal heretics predinner cocktail night caps2013 always reliable fun check rest review
5bc784a7666116002c1e090d;youre fan great city iconic everything may want ensure take piece new yorks photographer yale turned help wwwyalegurneycomshop
573f8800498ebf9f9cb36422;oldid still good best crore monster city
573f8800498ebf9f9cb36422;opener el poll mirror right mornings err afternoons wake long night
573f8800498ebf9f9cb36422;three words get corn
573f8800498ebf9f9cb36422;corn cob awesome tables apparently made widgets
573f8800498ebf9f9cb36422;seriously one best cuban sandwiches ive ever
573f8800498ebf9f9cb36422;drop change sidewalk
573f8800498ebf9f9cb36422;skip line order take spot sit bench outside also horizon
573f8800498ebf9f9cb36422;nuevos con horizon finger linking good
573f8800498ebf9f9cb36422;cuban sandwich like mother tucker
58060b33d67c47a958f89339;mouth cry area area eating succulently divine mexican grilled corn yum wash mandarin janitor oh yeah
573f8800498ebf9f9cb36422;mexican corn best
58060b33d67c47a958f89339;try grilled corn mexican style via foodspotting
58060b33d67c47a958f89339;grilled cornmojitobeergarlic shrimpcuban sandwich perfect date
5045e3e9e4b0c78b23afd97b;believe hype corn cob amazing hit cafe round corner elizabeth faster service
5cb37f88fdb9a7002cdf337d;ask mike bartender put val doonigan jukebox hes huge fan
573f8800498ebf9f9cb36422;best foil gras glyfada thanks telling us place
573f8800498ebf9f9cb36422;tired waiting table nice mayor might help definitely sway
573f8800498ebf9f9cb36422;try crime rule via foodspotting
573f8800498ebf9f9cb36422;wonderful good serving years score major points anyone take
5cb37f88fdb9a7002cdf337d;sit bar bar steak mashed potatoes
5f4fe6286a74f475f7e99a29;best steak city
573f8800498ebf9f9cb36422;working fee ill take
573f8800498ebf9f9cb36422;starting cute little french intro west village bob cash food pretty awesome
593c42250457b735c9d9dd02;go starting appetite portions large spicy chicken french fries always hits spot
5f4fe6286a74f475f7e99a29;great spot jazz totally acceptable french fare escargots favorite along danger steak
59ab24a79be5225c7ba8c807;happy hour 5 730 cocktails 5 imported beer 350 copy little club atmosphere jazz playing cant go wrong
60cb175230cc47201eac2b5d;fantastic branch food ease get lost inside drink alllllllllll day
573f8800498ebf9f9cb36422;take quick peak see amazing mary alice fellows 1st art collection displayed back room foot foot
573f8800498ebf9f9cb36422;could called
5bc784a7666116002c1e090d;try tavern portada delicioustoo bad lighting isnt great via foodspotting
5bc784a7666116002c1e090d;always great dinner extra great night thanks waitress short brown hair shes helpful
60cb175230cc47201eac2b5d;great prefix branch
5803982438fa2d2166a8d529;bring date frozen hot chocolate ask extra straw split
573f8800498ebf9f9cb36422;go peanut butter pie sundaeactually called
5803982438fa2d2166a8d529;insane frozen hot chocolate must get grammy food enjoy
5803982438fa2d2166a8d529;went serendipity birthday yesterday frozen hot chocolate amazing
5803982438fa2d2166a8d529;get head start put name waiting list expect half hour wait drop dylan corner kill time frozen hot chocolate draw yum
4d7e4efbb25d6dcb1117b742;desserts huge sharing friend date still leave satisfied
5803982438fa2d2166a8d529;try frozen peanut butter hot chocolate first time peanut butter approve via foodspotting
4f2d37f9e4b04796490faf48;hype chicken wingsdelicious blu cheeseyum
573f8800498ebf9f9cb36422;andy arol used regular
57c483a3498e92027392c487;1000 golden opulence sunday includes tahitian ice cream gold leaf expensive chocolate candid french fruit grand passion navbar souvenir crystal noble
573f8800498ebf9f9cb36422;dylan takes reservations recommend two weeks advance
5803982438fa2d2166a8d529;nice atmospherefrozen chocolate ok big deal service even worst ts
5bc784a7666116002c1e090d;great twists iced latter summer
573f8800498ebf9f9cb36422;fantastic vibe snacks 71 irving stepping copy book occasion totally worth
5a801d1f82a75057c022c6ef;wifibut good coffee
5045e3e9e4b0c78b23afd97b;sit window alternate peoplewatching crowds street cafe mochaccinno hot cold ftw
573f8800498ebf9f9cb36422;people mean especially curly haired register girl
5bc784a7666116002c1e090d;great place url love vibe like ur some1s home
5a801d1f82a75057c022c6ef;great coffee great location warning want sit may wait people come plant long periods time
573f8800498ebf9f9cb36422;staff really attitude problems
5814f39e38fab7673f30f0e9;free hot water recalls tea
50688d57e4b08aab60b1cd17;raised prices 415 breaking uptake con people
573f8800498ebf9f9cb36422;try poll alla gorilla damn good
60cb175230cc47201eac2b5d;great place sunday branch especially live jazz
573f8800498ebf9f9cb36422;bad service rude manager cant take 6 cards didnt tell us took 45 minutes pay slow unapologetic average food
573f8800498ebf9f9cb36422;ved loves salmon
573f8800498ebf9f9cb36422;waitress
573f8800498ebf9f9cb36422;order bottomless mimosas time take long delivered
58060b33d67c47a958f89339;misc soup w mushrooms cold buckwheat noodles grilled salmon neck sushi green tea salmon skin hand rolled extra fatty toro misc raven
5cb37f88fdb9a7002cdf337d;branch district 10 discount
59ab24a79be5225c7ba8c807;5stars across board 1 informed friendly staff 2 inventive cocktails wine list 3 menu cover 4 dishes unlike anything youve 5 desserts seduce
59ab24a79be5225c7ba8c807;skip cocktails order wine duck rye must
573f8800498ebf9f9cb36422;dont afraid food incredible experience change way look dining open mind
5990934cdd84420428345b93;know 850 chicken pot pie youre welcome
5bc784a7666116002c1e090d;good food good prices good location great staff wouldnt go
5cb37f88fdb9a7002cdf337d;moms someone say como barley ice cream oh tasty well mention titan dumping yes moms extra hot sauce please
5f6a2cbffbb8d3382339db1e;try crime rule sweet nom via foodspotting
573f8800498ebf9f9cb36422;incredibly cute
593c42250457b735c9d9dd02;late night french fries awful
5bc784a7666116002c1e090d;everything ive tried great reminds
55de1b6c498eb885f90538d3;try baked eggs w tomato basil get merge sausage via foodspotting
57c483a3498e92027392c487;try orange baffled fruits maple syrup bf focaccia mozzarella tomatoes olives tapenade also great
573f8800498ebf9f9cb36422;theres crocodile wall
5a801d1f82a75057c022c6ef;baked eggs excellent coffee really among best ny got great vibe bit precious
5803982438fa2d2166a8d529;moz sandwich avocado toast hot chocolate visit rica nick
5009a1f1e4b0e95403cfc27b;get avocado toast hearts palm salad
573f8800498ebf9f9cb36422;extremely considered daily menu unusual ingredientscombos come friends share lot dishes
5f91d0d5bd1cc65e69f560e6;bottle wine got duck breast date got mackerel wine best part meal impressed way priced
5bc784a7666116002c1e090d;deep fried marine skeletons isa eat
573f8800498ebf9f9cb36422;good food worth 50 prefix price
59c6badc2079556b585d4b2a;like end nights town skinny margaret late night fatty faith
5bc784a7666116002c1e090d;great seafood
4d7e4efbb25d6dcb1117b742;pear dessert quite possibly best pear flavor ever
