ID;Comment
5009a1f1e4b0e95403cfc27b;godi make your own sandwich: tuna salad on country white bread, cheddar, lettuce, tomato, cucumber, mayo. yuuuum.
5cae4c8cb3c961002c6533a9;The calamari as an appetizer and the quail. Pretty good, if a bit rich. The berry and creme desert thing was really, really good!
5051ad96e4b09819b92cc135;Be careful with the napkins on your pants. They leave remnants behind. As in lint.
5f4fe6286a74f475f7e99a29;try the steak frites, it's the best - believe me
5a801d1f82a75057c022c6ef;go visit google across the street. see the big coffee robot
4d7e4efbb25d6dcb1117b742;Great drinks & good appetizers. Love the dessert menu.
4b487745f964a520c04d26e3;Try the English breakfast
4d7e4efbb25d6dcb1117b742;total madhouse and that's because the french onion soup keeps everyone coming back.. oh, and celebrity sightings too. leave room for dessert, my 2 faves? Tarte Aux Pommes & Cr?pes Suzette.
573f8800498ebf9f9cb36422;And by the way if u are looking for a Job on advertising sales and travelling around the world check that after the grattin dauphinois: http:\/\/bit.ly\/aQiWtc
573f8800498ebf9f9cb36422;Go for the grattin dauphinois!
4f2d37f9e4b04796490faf48;When here you have to order the Mac & Cheese. Amazing
50688d57e4b08aab60b1cd17;People watching + Cheesecake + Sex & The City
60cb175230cc47201eac2b5d;para brunchear
5bc784a7666116002c1e090d;love eating outside here :)
59ab24a79be5225c7ba8c807;If you want an authentic experience, think again if you are pondering a full, sit-down meal here-stick to a pre-dinner cocktail or a night cap\u2013 always reliable and fun. Check out the rest of the revie
5bc784a7666116002c1e090d;If you're a fan of our great city and its iconic everything, then you may want to ensure you take a piece with you. New York's photographer - Yale Gurney - can help. WWW.yalegurney.com\/shop
573f8800498ebf9f9cb36422;An oldie but still a goodie. Best croque monsieur in the city!
573f8800498ebf9f9cb36422;obtener el pollo mirador. just right for those mornings, err, afternoons where you wake up after a long night out.
573f8800498ebf9f9cb36422;Three words: get the corn.
573f8800498ebf9f9cb36422;The corn on the cob is awesome, but the tables were apparently made for midgets.
573f8800498ebf9f9cb36422;Seriously one of the best cuban sandwiches I've ever had!
573f8800498ebf9f9cb36422;Drop your change on the sidewalk
573f8800498ebf9f9cb36422;Skip the line and order at the take out spot. Then sit on the bench outside. Also, Chorizo.
573f8800498ebf9f9cb36422;Huevos con chorizo is finger lickin good!!
573f8800498ebf9f9cb36422;Cuban sandwich like a mother fucker
58060b33d67c47a958f89339;your mouth will cry Areeba Areeba after eating their succulently divine Mexican Grilled Corn, YUM... wash down with a Mandarin Jaritos... oh yeah
573f8800498ebf9f9cb36422;The Mexican corn is the best!!
58060b33d67c47a958f89339;Try the Grilled Corn Mexican Style (via @Foodspotting)
58060b33d67c47a958f89339;Grilled corn+mojito+beer+garlic shrimp+Cuban sandwich= a perfect date
5045e3e9e4b0c78b23afd97b;Do believe the hype! Corn on cob amazing. Hit the cafe round the corner of Elizabeth for a faster service!
5cb37f88fdb9a7002cdf337d;Ask Mike, the bartender, to put some Val Doonigan on the jukebox. He's a huge fan!!!
573f8800498ebf9f9cb36422;Best foie gras in Glyfada! Thanks for telling us about this place, Naveen!
573f8800498ebf9f9cb36422;Tired of waiting for a table? Be nice to the mayor and he might help you out. Definitely has some sway here.
573f8800498ebf9f9cb36422;Try the Creme Brulee (via @Foodspotting)
